,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
105,"TIERRALINDA DEL BOSQUE, Apartamento en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-bosque-apartamentos-en-venta-en-villa-fatima-cali/15017069,235595700,2,1,55.44,cali,Amazonía
106,"VERONA  CONDOMINIO, Apartamento en Venta en Rincon de las garzas, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/verona-condominio-apartamentos-en-venta-en-alfaguara-jamundi/4462929,334200000,3,2,80.47,jamundí,desconocido
107,"ZUE TURQUESA, Apartamento en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-turquesa-apartamentos-en-venta-en-soacha/15017448,200000000,2,2,57,soacha,desconocido
108,TÁNGARA,https://www.fincaraiz.com.co/proyectos-vivienda/tangara-casas-en-venta-en-ciudad-country-jamundi/6815616,446057504,2,2,101.46,tángara,desconocido
109,"LA ALMERIA ALSACIA RESERVADO, Apartamento en Venta en Ciudad alsacia, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-almeria-alsacia-reservado-apartamentos-en-venta-en-ciudad-alsacia-bogota/7872475,568622000,3,2,64.43,bogotá,Orinoquía
110,"PUERTA DORADA LA BAHIA, Apartamento en Venta en Veinte de julio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-la-bahia-apartamentos-en-venta-en-veinte-de-julio-barranquilla/15017214,227767000,2,2,72.94,barranquilla,Caribe
111,"SALINAS DEL SOL, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/salinas-del-sol-apartamentos-en-venta-en-pozos-colorados-santa-marta/10558889,496750000,1,1,37.74,santa marta,Caribe
112,"ALTOS DE LA ESPERANZA, Apartamento en Venta en Siete trojes, Funza",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-la-esperanza-apartamentos-en-venta-en-siete-trojes-funza/7149052,213525000,3,2,60,funza,desconocido
113,"Izola Zentral, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/izola-zentral-apartamentos-en-venta-en-hayuelos-bogota/5310953,499591000,3,2,62.75,bogotá,Orinoquía
114,"COUNTRY PARK, Apartamento en Venta en Cañaveral, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/country-park-apartamentos-en-venta-en-floridablanca/7347973,590443000,3,2,89.24,floridablanca,desconocido
115,"LOS LAGOS, Apartamento en Venta en Cascajal, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/los-lagos-apartamentos-en-venta-en-cascajal-cali/15017395,249538000,2,1,65.23,cali,Amazonía
116,"TORRES DE SOHÁ, Apartamento en Venta en Zona industrial santa ana, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-soha-apartamentos-en-venta-en-zona-industrial-santa-ana-soacha/10093200,170820000,2,2,48.07,soacha,desconocido
117,"MAJAGUA UNIDAD RESIDENCIAL, Apartamento en Venta en El trapiche, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/majagua-unidad-residencial-apartamentos-en-venta-en-el-trapiche-bello/7565354,164700000,1,1,41.49,bello,desconocido
118,"AMARA, Apartamento en Venta en San pascual, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/amara-apartamentos-en-venta-en-san-pascual-cali/15016939,236900000,2,2,55.34,cali,Amazonía
119,"CONJUNTO RESIDENCIAL SAN LORENZO, Apartamento en Venta en El poblado i, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/conjunto-residencial-san-lorenzo-apartamentos-en-venta-en-el-poblado-i-cali/10049424,185797300,3,1,44.62,cali,Amazonía
120,"TIERRALINDA DEL VALLE, Apartamento en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-valle-apartamentos-en-venta-en-villa-fatima-cali/15017067,360548000,2,2,73.27,cali,Amazonía
121,"RETIRO DEL VIENTO, Casa en Venta en El Retiro",https://www.fincaraiz.com.co/proyectos-vivienda/retiro-del-viento-casas-en-venta-en-el-retiro/15016676,682000000,3,4,127,el retiro,desconocido
122,"MONTEBONITO APARTAMENTOS, Apartamento en Venta en Frailes, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/montebonito-apartamentos-apartamentos-en-venta-en-frailes-dosquebradas/7962213,206772500,3,2,51.26,dosquebradas,desconocido
123,"GREGAL, Apartamento en Venta en Montevideo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/gregal-apartamentos-en-venta-en-montevideo-bogota/5652353,599000000,2,2,64.5,bogotá,Orinoquía
124,"San Mateo La Quinta, Apartamento en Venta en Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/san-mateo-la-quinta-apartamentos-en-venta-en-zipaquira/7766239,309150000,3,2,58.51,zipaquirá,desconocido
125,"BAUME, Casa en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/baume-casas-en-venta-en-la-morada-jamundi/15016863,416000000,3,2,92.66,jamundí,desconocido
126,"Ciudad La Salle Burdeos, Apartamento en Venta en Alameda, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-la-salle-burdeos-apartamentos-en-venta-en-alameda-bogota/7203484,618365000,2,2,60.02,bogotá,Orinoquía
127,"BAVARO, Apartamento en Venta en Suroccidente, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/bavaro-apartamentos-en-venta-en-suroccidente-barranquilla/15017358,135801900,2,1,45.6,barranquilla,Caribe
128,"Génova, Apartamento en Venta en Realengo, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/genova-apartamentos-en-venta-en-metropolitana-barranquilla/7883934,278837000,1,2,40.4,barranquilla,Caribe
129,"ALMENDRO APARTAMENTOS, Apartamento en Venta en El Recodo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/almendro-apartamentos-apartamentos-en-venta-en-el-recodo-bogota/15017355,203243000,2,2,44.2,bogotá,Orinoquía
130,"Nativo Terra, Casa en Venta en Arenal, Candelaria",https://www.fincaraiz.com.co/proyectos-vivienda/nativo-terra-casas-en-venta-en-arenal-candelaria/15017489,220225415,3,2,49.68,candelaria,desconocido
131,"FLOR APARTAMENTOS, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/flor-apartamentos-apartamentos-en-venta-en-bello/15017254,348150000,2,2,62,bello,desconocido
132,"LOS CÁMBULOS, Apartamento en Venta en Calasanz parte alta, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/los-cambulos-apartamentos-en-venta-en-calasanz-parte-alta-medellin/15017517,295600000,1,1,36.8,medellín,Andina
133,"ESMERALDA, Apartamento en Venta en Alameda del Rio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/esmeralda-apartamentos-en-venta-en-alameda-del-rio-barranquilla/15017060,380440000,3,2,76.5,barranquilla,Caribe
134,"BOSQUE RESERVADO, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-reservado-apartamentos-en-venta-en-ibague/15017049,370155000,3,2,71.96,ibagué,Andina
135,"MONTEREAL, Apartamento en Venta en Niquia, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/montereal-apartamentos-en-venta-en-niquia-bello/15017055,283855000,1,2,47.54,bello,desconocido
136,"FLORA CLUB HOUSE, Apartamento en Venta en Antiguo Campestre, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/flora-club-house-apartamentos-en-venta-en-conucos-bucaramanga/5568081,373000000,1,2,60,bucaramanga,Andina
137,"Puerta Dorada El Lago, Apartamento en Venta en Veinte de julio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-el-lago-apartamentos-en-venta-en-veinte-de-julio-barranquilla/15017210,204631000,2,2,56.48,barranquilla,Caribe
138,"RESERVA LOS ROBLES, Casa en Venta en Chuntame, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-los-robles-casas-en-venta-en-cajica/15017466,500000000,0,0,306,cajicá,desconocido
139,"ZUE GRANATE, Apartamento en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-granate-apartamentos-en-venta-en-soacha/15017447,172853050,2,2,47,soacha,desconocido
140,"ALTOS DE DIAMANTE, Apartamento en Venta en Diamante 2, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-diamante-apartamentos-en-venta-en-diamante-2-bucaramanga/10320727,393000000,2,2,70.28,bucaramanga,Andina
141,"VIGO, Apartamento en Venta en Laureles, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/vigo-apartamentos-en-venta-en-laureles-medellin/15017490,353927000,1,1,30.62,medellín,Andina
142,"SERENITY APARTMENTS, Apartamento en Venta en El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/serenity-apartments-apartamentos-en-venta-en-el-caimo-armenia/15017132,265096000,1,1,37,armenia,Andina
143,"BALUARTE DEL PUERTO, Apartamento en Venta en Bellavista, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/baluarte-del-puerto-apartamentos-en-venta-en-bellavista-cartagena/15016817,228871503,2,2,52.69,cartagena,Caribe
144,"SABANA DEL OCCIDENTE, Apartamento en Venta en Siete trojes, Funza",https://www.fincaraiz.com.co/proyectos-vivienda/sabana-del-occidente-apartamentos-en-venta-en-siete-trojes-funza/10126290,232000000,3,2,65,funza,desconocido
145,"VÉRTICE, Apartamento en Venta en Restrepo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/vertice-apartamentos-en-venta-en-restrepo-bogota/15017056,213525000,2,1,35.19,bogotá,Orinoquía
146,"CANARIOS DEL CASTILLO D, Casa en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/canarios-del-castillo-d-casas-en-venta-en-el-castillo-cali/15017202,482000000,3,3,106.47,cali,Amazonía
147,"TIERRALINDA DEL VIENTO, Apartamento en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-viento-apartamentos-en-venta-en-villa-fatima-cali/15017068,535000000,2,1,92.26,cali,Amazonía
148,"OTOBO CLUB RESIDENCIAL, Apartamento en Venta en Palmaseca, Palmira",https://www.fincaraiz.com.co/proyectos-vivienda/otobo-club-residencial-apartamentos-en-venta-en-palmaseca-palmira/5648090,495650000,2,2,74.2,palmira,desconocido
149,"EL BOSQUE UNIDAD RESIDENCIAL, Apartamento en Venta en Hato viejo, Bello",https://www.fincaraiz.com.co/proyectos-vivienda/el-bosque-unidad-residencial-apartamentos-en-venta-en-bello/10288991,191000000,2,1,55.16,bello,desconocido
150,"SANTA CLARA, Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/santa-clara-apartamentos-en-venta-en-valle-del-lili-cali/10856493,415449000,2,2,70.83,cali,Amazonía
151,"TIERRALINDA DEL RÍO, Apartamento en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-rio-apartamentos-en-venta-en-villa-fatima-cali/15017066,221169000,2,1,62.36,cali,Amazonía
152,"Metrópoli 30, Apartamento en Venta en Ricaurte, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/metropoli-30-apartamentos-en-venta-en-ricaurte-bogota/10389240,225719000,1,1,26.25,bogotá,Orinoquía
153,"MAKANI, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/makani-apartamentos-en-venta-en-puerto-colombia/15017063,209004705,2,2,56.06,barranquilla,Caribe
154,"TORRES DEL PARQUE CONJUNTO CERRADO, Apartamento en Venta en Ciudadela del rio, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/torres-del-parque-conjunto-cerrado-apartamentos-en-venta-en-ciudadela-del-rio-cali/7207846,163104500,3,1,44.62,cali,Amazonía
155,"CISNES B, Casa en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/cisnes-b-casas-en-venta-en-el-castillo-cali/10703643,789100000,3,3,173.55,cali,Amazonía
156,"NÓMADA 117, Apartaestudio en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/nomada-117-apartaestudios-en-venta-en-pance-cali/10641440,453733943,1,1,38.84,cali,Amazonía
157,"NAPOLI, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/napoli-apartamentos-en-venta-en-miramar-barranquilla/4377455,320742000,2,2,57.4,barranquilla,Caribe
158,"CIUDADELA MONTEAZUL, Apartamento en Venta en Monteazul, Sabaneta",https://www.fincaraiz.com.co/proyectos-vivienda/ciudadela-monteazul-apartamentos-en-venta-en-sabaneta/1127158,503090000,2,2,69,sabaneta,desconocido
159,"LAKE OCÉANO VERDE, Apartamento en Venta en Porerito, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/lake-oceano-verde-apartamentos-en-venta-en-porerito-jamundi/2948865,552650000,2,2,97.25,jamundí,desconocido
160,"CANARIOS DEL CASTILLO E, Casa en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/canarios-del-castillo-e-casas-en-venta-en-el-castillo-cali/15017246,425600000,3,3,84.9,cali,Amazonía
161,"MARAMA, Apartamento en Venta en Caños negros, Villavicencio",https://www.fincaraiz.com.co/proyectos-vivienda/marama-apartamentos-en-venta-en-caños-negros-villavicencio/15017318,222074595,2,1,58,villavicencio,Orinoquía
162,"CIUDADELA VILLA DEL RIO, Casa en Venta en Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/ciudadela-villa-del-rio-casas-en-venta-en-jamundi/15017402,213525000,2,2,58,jamundí,desconocido
163,"HACIENDA EL CORTIJO ELITE, Apartamento en Venta en Oro Negro, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-el-cortijo-elite-apartamentos-en-venta-en-norte-de-armenia-armenia/6697787,547973000,3,2,86.63,armenia,Andina
164,"PORTAL DEL ALISO, Apartamento en Venta en Ciudad verde, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/portal-del-aliso-apartamentos-en-venta-en-ciudad-verde-soacha/15017152,220000000,2,1,62.5,soacha,desconocido
165,"LIFE 72 OFICINAS, Oficina en Venta en Quinta camacho, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/life-72-oficinas-oficinas-en-venta-en-quinta-camacho-bogota/15017482,426828000,0,1,48.24,bogotá,Orinoquía
166,"BRASSIA CAMPESTRE, Apartamento en Venta en La tebaida",https://www.fincaraiz.com.co/proyectos-vivienda/brassia-campestre-apartamentos-en-venta-en-el-eden-la-tebaida/10341233,777000000,3,3,190.34,la tebaida,desconocido
167,"LOS BOSQUES, Casa en Venta en Cascajal, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/los-bosques-casas-en-venta-en-cascajal-cali/10385373,337931163,1,1,45.1,cali,Amazonía
168,"DIPORTO, Apartamento en Venta en Serena del Mar, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/diporto-apartamentos-en-venta-en-serena-del-mar-cartagena/15017360,652100000,1,2,64.1,cartagena,Caribe
169,"VALDIVIANA, Apartamento en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/valdiviana-apartamentos-en-venta-en-la-morada-jamundi/15016907,262041000,2,1,60.65,jamundí,desconocido
170,"IBIS STYLES LAURELES, Apartamento en Venta en Laureles, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/ibis-styles-laureles-apartamentos-en-venta-en-laureles-medellin/15017305,257433057,1,1,20,medellín,Andina
171,"La Fontana, Apartamento en Venta en Puente aranda, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-fontana-apartamentos-en-venta-en-puente-aranda-bogota/15017191,234090000,2,1,35.71,bogotá,Orinoquía
172,"PUNTO 14, Local en Venta en Centro, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/punto-14-locales-en-venta-en-centro-cali/15017368,174000000,0,0,7,cali,Amazonía
173,"LUCIÉRNAGAS, Apartamento en Venta en El carmelo, Candelaria",https://www.fincaraiz.com.co/proyectos-vivienda/luciernagas-apartamentos-en-venta-en-el-carmelo-candelaria/10521031,237653325,2,2,45.58,candelaria,desconocido
174,"LORCA, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/lorca-apartamentos-en-venta-en-nueva-castilla-bogota/6639082,350416000,2,2,56.76,bogotá,Orinoquía
175,"Ciudad La Salle Saint Michel, Apartamento en Venta en Toberin, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-la-salle-saint-michel-apartamentos-en-venta-en-toberin-bogota/15017173,464697000,2,2,53.02,bogotá,Orinoquía
176,"LOS NARANJOS CONJUNTO CAMPESTRE, Apartamento en Venta en Cr. los naranjos, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/los-naranjos-conjunto-campestre-apartamentos-en-venta-en-cr-los-naranjos-jamundi/1212247,184900000,2,2,63.08,jamundí,desconocido
177,"MALAGA CASTILLA RESERVADO, Apartamento en Venta en Tintala, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/malaga-castilla-reservado-apartamentos-en-venta-en-nueva-castilla-bogota/10080314,456811000,3,2,78.17,bogotá,Orinoquía
178,"LOFT 56, Apartaestudio en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/loft-56-apartaestudios-en-venta-en-galerias-bogota/10071791,278000000,1,1,30.26,bogotá,Orinoquía
179,"BELATERRA PIETRA, Apartamento en Venta en Mayapan las vegas, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/belaterra-pietra-apartamentos-en-venta-en-valle-del-lili-cali/15016756,400401000,2,2,67.4,cali,Amazonía
180,"AGUAMARINA, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/aguamarina-apartamentos-en-venta-en-bochalema-cali/7110915,213525000,2,2,60.48,cali,Amazonía
181,"CASAS DE LA VEGA, Apartamento en Venta en El hormiguero, Puerto tejada",https://www.fincaraiz.com.co/proyectos-vivienda/casas-de-la-vega-apartamentos-en-venta-en-el-hormiguero-puerto-tejada/10229007,140000000,2,1,53.41,puerto tejada,desconocido
182,"BOSQUE SAN ANGEL, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-san-angel-apartamentos-en-venta-en-ibague/15017299,449566000,3,2,91.05,ibagué,Andina
183,"VIVERDI, Apartamento en Venta en San fernando viejo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/viverdi-apartamentos-en-venta-en-san-fernando-viejo-cali/7883085,515069000,2,2,72.68,cali,Amazonía
184,"BAMBU, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bambu-apartamentos-en-venta-en-ibague/15017047,405467000,3,2,90.46,ibagué,Andina
185,"Reserva de La Sierra, Apartamento en Venta en Usaquen, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-la-sierra-apartamentos-en-venta-en-usaquen-bogota/10857920,2250359000,3,5,176.08,bogotá,Orinoquía
186,"LOS ROBLES, Casa en Venta en Chuntame, Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/los-robles-casas-en-venta-en-chuntame-cajica/15017473,1250000000,3,4,173,cajicá,desconocido
187,"ECO HACIENDA SANTA CRUZ, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/eco-hacienda-santa-cruz-apartamentos-en-venta-en-ibague/15017300,192172500,2,2,56.67,ibagué,Andina
188,"CAMPOS DE PANGOLA MIRADOR DEL RIO, Apartamento en Venta en Cn. paisaje de pangola, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/campos-de-pangola-mirador-del-rio-apartamentos-en-venta-en-jamundi/6982734,209679900,2,2,62.08,jamundí,desconocido
189,"PIAZZA, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/piazza-apartamentos-en-venta-en-valle-del-lili-cali/10739934,481619185,2,2,73.9,cali,Amazonía
190,"BOSQUE MADERO, Apartamento en Venta en Cd. simon bolivar et. i, Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-madero-apartamentos-en-venta-en-ibague/15017048,470292000,3,2,90.99,ibagué,Andina
191,"TIERRALINDA DE LA PLANICIE, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-la-planicie-apartamentos-en-venta-en-tierralinda-cali/7217724,202690570,2,2,63.02,cali,Amazonía
192,"Dimaro, Apartamento en Venta en Realengo, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/dimaro-apartamentos-en-venta-en-metropolitana-barranquilla/7883920,441712000,3,2,74,barranquilla,Caribe
193,"TORRE DE LOS ANDES, Apartamento en Venta en La Floresta, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/torre-de-los-andes-apartamentos-en-venta-en-andes/7707475,290500000,1,1,26.5,bogotá,Orinoquía
194,"EJEREAL, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/ejereal-apartamentos-en-venta-en-avenida-centenario-armenia/10118042,200685030,3,1,53.4,armenia,Andina
195,"VERDANT, Apartamento en Venta en La hacienda, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/verdant-apartamentos-en-venta-en-el-limonar-cali/15016865,553070000,2,2,62.3,cali,Amazonía
196,"MILAN 170, Apartamento en Venta en Los laureles, Manizales",https://www.fincaraiz.com.co/proyectos-vivienda/milan-170-apartamentos-en-venta-en-milan-manizales/7642953,360000000,1,1,46.63,manizales,Andina
197,"PEÑAZUL LA ALDEA, Apartamento en Venta en Ricaurte",https://www.fincaraiz.com.co/proyectos-vivienda/peñazul-la-aldea-apartamentos-en-venta-en-ricaurte/3791838,274247000,3,2,57.84,ricaurte,desconocido
198,"HERMOSOS LOTES CAMPESTRES CON CABAÑA EN APULO CON DISEÑOS Y PLANOS PARA UNA CASA CAMPESTRE A SU GUSTO, Lote en Venta en Vereda San Antonio, Apulo",https://www.fincaraiz.com.co/proyectos-vivienda/hermosos-lotes-campestres-con-cabaña-en-apulo-con-diseños-y-planos-para-una-casa-campestre-a-su-gusto-lotes-en-venta-en-vereda-san-antonio-apulo/10274346,199000000,1,1,1500,apulo,desconocido
199,"Brisas del Jardín, Apartamento en Venta en La esperanza, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/brisas-del-jardin-apartamentos-en-venta-en-la-esperanza-cartagena/15017162,195000000,2,1,53.96,cartagena,Caribe
200,"NOVA CONDOMINIO AVENUE, Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/nova-condominio-avenue-apartamentos-en-venta-en-valle-del-lili-cali/7896529,554802242,3,3,79.75,cali,Amazonía
201,"ALTAVIA, Apartamento en Venta en Nueva tequendama, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/altavia-apartamentos-en-venta-en-nueva-tequendama-cali/15017258,419194660,1,1,39,cali,Amazonía
202,"LA PLAZUELA, Apartamento en Venta en Boston, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/la-plazuela-apartamentos-en-venta-en-boston-barranquilla/15017157,324465000,3,2,62.31,barranquilla,Caribe
203,"View Point, Apartamento en Venta en Villa Campestre, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/view-point-apartamentos-en-venta-en-villa-campestre-barranquilla/10792397,222074595,2,2,54,barranquilla,Caribe
204,"CAMPOS DE PANGOLA TORRES, Apartamento en Venta en Ciudad Country, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/campos-de-pangola-torres-apartamentos-en-venta-en-jamundi/4944230,195000000,2,2,62.63,jamundí,desconocido
205,"NUEVO POBLADO - TORRE BAENA, Apartamento en Venta en Viviendas del Sur, Itaguí",https://www.fincaraiz.com.co/proyectos-vivienda/nuevo-poblado-torre-baena-apartamentos-en-venta-en-viviendas-del-sur-itagui/10728987,420511570,3,2,61.55,itaguí,desconocido
206,"DIAMANTE CAMPESTRE, Apartamento en Venta en Diamante 2, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/diamante-campestre-apartamentos-en-venta-en-diamante-2-bucaramanga/10320718,375000000,2,2,63.58,bucaramanga,Andina
207,"TIERRALINDA DEL LAGO, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-lago-apartamentos-en-venta-en-bochalema-cali/15017065,208650000,2,2,64.32,cali,Amazonía
208,"SKY TOWER, Apartamento en Venta en El tejar, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/sky-tower-apartamentos-en-venta-en-el-tejar-bucaramanga/10183158,478318000,1,1,46.27,bucaramanga,Andina
209,"FIORINO, Apartamento en Venta en Santa isabel, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/fiorino-apartamentos-en-venta-en-san-fernando-nuevo-cali/5320631,587268000,3,2,85.16,cali,Amazonía
